Attribute,Pool,Pool_Thresh,Trait,Rarity
Mouth,1,50,Scruffy,22
Mouth,1,50,Slim,20
Mouth,1,50,Chonky,26
Mouth,1,50,Grin,16
Mouth,1,50,Wide_Grin,8
Mouth,1,50,Pipe,8
Mouth,2,100,Scruffy,15
Mouth,2,100,Slim,15
Mouth,2,100,Chonky,15
Mouth,2,100,Grin,15
Mouth,2,100,Wide_Grin,14
Mouth,2,100,Moustache,8
Mouth,2,100,Hiss,7
Mouth,2,100,Jaws,6
Mouth,2,100,Cheeky_Stud,5
Mouth,3,150,Stitched,8
Mouth,3,150,Fish,8
Mouth,3,150,Grin,9
Mouth,3,150,Moustache,10
Mouth,3,150,Hiss,10
Mouth,3,150,Jaws,10
Mouth,3,150,Cheeky_Stud,9
Mouth,4,200,Stitched,5
Mouth,4,200,Fish,15
Mouth,4,200,Hiss,5
Mouth,4,200,Jaws,5
Mouth,4,200,Predator,20
Mouth,4,200,Xenomorph,20
Mouth,4,200,Battle_Cat,20
Headgear,1,50,No_Trait,20
Headgear,1,50,Tattered,15
Headgear,1,50,Traveling_Salescat,10
Headgear,1,50,Cowboy,12
Headgear,1,50,Tagged,15
Headgear,1,50,Mad_Catter,14
Headgear,1,50,Baseball_Cap,14
Headgear,2,100,Metal_Cap,15
Headgear,2,100,Goggles_Cap,15
Headgear,2,100,Moto_Goggles,15
Headgear,2,100,Gear_Head,10
Headgear,2,100,Peeky_Blinder,20
Headgear,2,100,Flapper_Headband,10
Headgear,2,100,Winter_Cap,15
Headgear,3,150,Nurse_Joy,5
Headgear,3,150,Pilot,18
Headgear,3,150,Admiral,12
Headgear,3,150,Battle_Scarred,12
Headgear,3,150,Adamantium_Tipped,13
Headgear,3,150,Doc_Brown,20
Headgear,3,150,NASAC_Cap,20
Headgear,4,200,Scuba,10
Headgear,4,200,Brain_Jar,20
Headgear,4,200,Gas_Mask,15
Headgear,4,200,Neuromancer,15
Headgear,4,200,Hazmat,10
Headgear,4,200,Battle_Cat,15
Headgear,4,200,Space_Helmet,15
Tail,1,50,No_Trait,20
Tail,1,50,Normy,80
Tail,2,100,No_Trait,10
Tail,2,100,Normy,20
Tail,2,100,Just_The_Tip,40
Tail,2,100,Clockwork,30
Tail,3,150,No_Trait,5
Tail,3,150,Fish,35
Tail,3,150,Flail_Tail,35
Tail,3,150,Borg,25
Tail,4,200,Flail_Tail,33
Tail,4,200,Lightning,37
Tail,4,200,Borg,30
Head,1,50,Freshly_Groomed,100
Head,2,100,Freshly_Groomed,50
Head,2,100,Scruffy,25
Head,2,100,Patchy,25
Head,3,150,Freshly_Groomed,20
Head,3,150,Scruffy,20
Head,3,150,Patchy,20
Head,3,150,Radiation_Poisoning,30
Head,3,150,Fleshy,10
Head,4,200,Freshly_Groomed,10
Head,4,200,Radiation_Poisoning,25
Head,4,200,Fleshy,25
Head,4,200,Cyborg,40
Hand,1,50,No_Trait,50
Hand,1,50,Badge,10
Hand,1,50,Ring,20
Hand,1,50,Peace_Sign,20
Hand,2,100,No_Trait,10
Hand,2,100,Ring,10
Hand,2,100,Peace_Sign,10
Hand,2,100,Mouse,25
Hand,2,100,Knife,25
Hand,2,100,Big_Daddy,10
Hand,2,100,Clockwork,10
Hand,3,150,No_Trait,5
Hand,3,150,Big_Daddy,20
Hand,3,150,Syringe,25
Hand,3,150,Webbed,20
Hand,3,150,Beaker,20
Hand,3,150,Radiation_Poison,10
Hand,4,200,Borg,25
Hand,4,200,Globe,20
Hand,4,200,Shock_Hand,25
Hand,4,200,Laser_Gun,15
Hand,4,200,Battle_Cat,15
Eyewear,1,50,No_Trait,30
Eyewear,1,50,Grandma_Glasses,15
Eyewear,1,50,Sleep_Mask,0
Eyewear,1,50,Half_Rimmed_Glasses,20
Eyewear,1,50,Round_Glasses,20
Eyewear,1,50,Half_Rimmed_Monacle,15
Eyewear,2,100,No_Trait,
Eyewear,2,100,Sleep_Mask,
Eyewear,2,100,Round_Glasses,
Eyewear,2,100,Lab_Safety_Goggles,
Eyewear,2,100,Patch_Left,
Eyewear,2,100,Patch_Right,
Eyewear,2,100,Aviator_Glasses,
Eyewear,2,100,Monacle_Implant,
Eyewear,3,150,No_Trait,
Eyewear,3,150,LaForge_Visor,
Eyewear,3,150,Monacle_Implant,
Eyewear,3,150,3D_Glasses,
Eyewear,3,150,Mr_Freeze_Goggles,
Eyewear,4,200,No_Trait,
Eyewear,4,200,AR_Goggles,
Eyewear,4,200,AR_Glasses,
Eyewear,4,200,AR_Visor,
Eyewear,4,200,Cyclops_Visor,
Eyes,1,50,Yellow,
Eyes,1,50,Slits,
Eyes,1,50,Lonesome,
Eyes,1,50,Winky,
Eyes,2,100,Winky,
Eyes,2,100,Blinky,
Eyes,2,100,Dichromatic,
Eyes,2,100,Scar,
